id,code,name,keph_level,facility_type,owner,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
5752,13172,Ruaraka Clinic,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NAIROBI,KASARANI,kasarani,KASARANI,Operational,No,No,No,No,Yes,Yes,No
5753,13729,Kwoyo Kodalo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MIGORI,AWENDO,awendo sub county,NORTH SAKWA,Operational,No,No,No,No,Yes,Yes,No
5754,14165,Uyawi Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,6,0,SIAYA,BONDO,bondo,CENTRAL SAKWA,Operational,No,No,No,No,Yes,Yes,No
5755,12655,Ngongoni Dispensary (Mwingi),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI WEST,mwingi west,NGUUTANI,Operational,No,No,No,No,Yes,Yes,No
5756,14778,Kaptel Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NANDI,CHESUMEI,chesumei,KAPTEL/KAMOIYWO,Operational,No,No,No,No,Yes,Yes,No
5757,16269,Kipingi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,NYATIKE,nyatike sub county,KACHIEN'G,Operational,No,No,No,No,Yes,Yes,No
5758,14068,Saradidi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,SIAYA,RARIEDA,rarieda,WEST ASEMBO,Operational,No,No,No,No,Yes,Yes,No
5759,12210,Kasunguni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,KITUI,KITUI EAST,kitui east,VOO/KYAMATU,Operational,No,No,No,No,Yes,Yes,No
5760,12153,Kalimani Disensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI WEST,kitui west,MATINYANI,Operational,No,No,No,No,Yes,Yes,No
5761,12161,Kamanyaki Health centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka south,CHIAKAGIRA,Operational,No,No,No,No,Yes,Yes,No
5762,12666,Nkubu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,SOUTH IMENTI,imenti south,NKUENE,Operational,No,No,No,No,Yes,Yes,No
5763,12653,Ngoleni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,KATHIANI,kathiani,KATHIANI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
5764,12573,Mumbuni Dispensary (Mwingi),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,3,0,KITUI,MWINGI WEST,mwingi west,MIGWANI,Operational,No,No,No,No,Yes,Yes,No
5765,12214,Katalwa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI WEST,mwingi west,MIGWANI,Operational,No,No,No,No,Yes,Yes,No
5766,12689,Nzatani Dispensary (Mwingi),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,KITUI,MWINGI WEST,mwingi west,MIGWANI,Operational,No,No,No,No,Yes,Yes,No
5767,11473,Kilibasi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,KINANGO,kinango,MWAVUMBO,Operational,No,No,No,No,Yes,Yes,No
5768,12268,Kea Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI WEST,mwingi west,NGUUTANI,Operational,No,No,No,No,Yes,Yes,No
5769,16354,Kapkei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,MOIBEN,moiben,TEMBELIO,Operational,No,No,No,No,Yes,Yes,No
5770,12011,Enziu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,KITUI,MWINGI CENTRAL,mwingi central,WAITA,Operational,No,No,No,No,Yes,Yes,No
5771,15324,Ndarugu (PCEA) Dispensary,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,4,0,NAKURU,NAKURU TOWN WEST,nakuru east,SHAABAB,Operational,No,No,No,No,Yes,Yes,No
5772,12541,Mosa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI RURAL,kitui rural,KISASI,Operational,No,No,No,No,Yes,Yes,No
5773,12617,Muyuni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI CENTRAL,mwingi central,MUI,Operational,No,No,No,No,Yes,Yes,No
5774,12578,Muono Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI CENTRAL,mwingi central,WAITA,Operational,No,No,No,No,Yes,Yes,No
5775,10647,Kutus Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIRINYAGA,MWEA,kirinyaga south,NYANGUTI,Operational,No,No,No,No,Yes,Yes,No
5776,11984,Dallas Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,Operational,No,No,No,No,Yes,Yes,No
5777,16366,Nakwijit Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WEST POKOT,KACHELIBA,pokot north,KODICH,Operational,No,No,No,No,Yes,Yes,No
5778,13116,Nairobi West Men's Prison Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NAIROBI,LANGATA,langata,NAIROBI WEST,Operational,No,No,No,No,Yes,Yes,No
5779,12469,Mango Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MWALA,mwala,MAKUTANO/MWALA,Operational,No,No,No,No,Yes,Yes,No
5780,11799,Siu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAMU,LAMU WEST,lamu west,SHELLA,Operational,No,No,No,No,Yes,Yes,No
5781,13814,Misesi Dispensary (Gucha),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOMACHOGE CHACHE,bomachoge chache,MAJOGE BASI,Operational,No,No,No,No,Yes,Yes,No
5782,14060,Rota Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,KISUMU WEST,kisumu west,SOUTH WEST KISUMU,Operational,No,No,No,No,Yes,Yes,No
5783,13295,Athibohol Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR WEST,wajir west,HADADO/ATHIBOHOL,Operational,No,No,No,No,Yes,Yes,No
5784,13525,China Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,NYAMIRA,NORTH MUGIRANGO,nyamira north,ITIBO,Operational,No,No,No,No,Yes,Yes,No
5785,16434,Katheka Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU EAST,Operational,No,No,No,No,Yes,Yes,No
5786,12808,Tulimani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,2,MAKUENI,MBOONI,mbooni,TULIMANI,Operational,No,No,No,No,Yes,Yes,No
5787,12211,Kasyala Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA EAST,Operational,No,No,No,No,Yes,Yes,No
5788,12225,Kathangariri Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,NGINDA,Operational,No,No,No,No,Yes,Yes,No
5789,12389,Kula Mawe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,ISIOLO,ISIOLO SOUTH,garbatulla,KINNA,Operational,No,No,Yes,No,Yes,Yes,No
5790,13434,Saretho Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,GARISSA,DAADAB,dadaab,DERTU,Operational,No,No,No,No,Yes,Yes,No
5791,12353,Kithegi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,KITHIMU,Operational,No,No,No,No,Yes,Yes,No
5792,12095,Itabua Police Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,MBETI NORTH,Operational,No,No,No,No,Yes,Yes,No
5793,10765,St Mulumba Mission Hospital,Level 4,Primary care hospitals,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,80,0,KIAMBU,THIKA TOWN,thika town,KAMENU,Operational,Yes,No,Yes,No,Yes,Yes,No
5794,13537,Ebiosi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOBASI,bobasi,NYACHEKI,Operational,No,No,No,No,Yes,Yes,No
5795,14000,Othach Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,SIAYA,BONDO,bondo,WEST SAKWA,Operational,No,No,No,No,Yes,Yes,No
5796,13651,Kambajo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,BONDO,bondo,WEST SAKWA,Operational,No,No,No,No,Yes,Yes,No
5797,13868,Nyachenge Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOBASI,bobasi,MASIGE WEST,Operational,No,No,No,No,Yes,Yes,No
5798,13938,Nyansira Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,NYARIBARI CHACHE,nyaribari chache,BIRONGO,Operational,No,No,No,No,Yes,Yes,No
5799,16313,Buruburu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MANDERA,MANDERA EAST,mandera east,TOWNSHIP,Operational,No,No,No,No,Yes,Yes,No
5800,13961,Ogam Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,SIAYA,BONDO,bondo,YIMBO EAST,Operational,No,No,No,No,Yes,Yes,No
5801,12049,GK Prison Dispensary (Meru),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,Yes,Yes,No
5802,12602,Mutituni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,MACHAKOS,MACHAKOS TOWN,machakos,MUTITUNI,Operational,No,No,No,No,Yes,Yes,No
5803,11985,Dambalafachana Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MARSABIT,MOYALE,moyale,OBBU,Operational,No,No,No,No,Yes,Yes,No
5804,16217,Merille Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,LAISAMIS,laisamis,LAISAMIS,Operational,No,No,No,No,Yes,Yes,No
5805,12638,Ndiuni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI WEST,kitui west,KWAMUTONGA/KITHUMULA,Operational,No,No,No,No,Yes,Yes,No
5806,13919,Nyandago Koweru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,NYATIKE,nyatike sub county,GOT KACHOLA,Operational,No,No,No,No,Yes,Yes,No
5807,12723,Sagante Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,SAKU,saku,MARSABIT CENTRAL,Operational,No,No,No,No,Yes,Yes,No
5808,13983,Nyamogonchoro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,SOUTH MUGIRANGO,south mugirango,BORABU/CHITAGO,Operational,No,No,No,No,Yes,Yes,No
5809,14050,Rigoko Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,NYAMIRA,BORABU,borabu,ESISE,Operational,No,No,No,No,Yes,Yes,No
5810,12480,Mataka Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,MWINGI NORTH,mwingi north,KYUSO,Operational,No,No,No,No,Yes,Yes,No
5811,14804,Karuna Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,MOIBEN,moiben,MOIBEN,Operational,No,No,No,No,Yes,Yes,No
5812,15995,Malanga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUSIA,NAMBALE,nambale,BUKHAYO CENTRAL,Operational,No,No,No,No,Yes,Yes,No
5813,11953,Iresaboru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,ISIOLO,ISIOLO SOUTH,garbatulla,SERICHO,Operational,No,No,Yes,No,Yes,Yes,No
5814,16153,Tuikut Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,Cheptais,CHESIKAKI,Operational,No,No,No,No,Yes,Yes,No
5815,14663,Kalokol (AIC) Health Centre,Level 3,Basic primary health care facility,Christian Health Association of Kenya,Kenya MPDB - Institution,20,2,TURKANA,TURKANA CENTRAL,turkana central,KALOKOL,Operational,No,No,No,No,Yes,Yes,No
5816,13590,Got Matar Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,SIAYA,BONDO,bondo,YIMBO EAST,Operational,No,No,No,No,Yes,Yes,No
5817,11543,Majimoto Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,LUNGA LUNGA,lunga lunga,DZOMBO,Operational,No,No,No,No,Yes,Yes,No
5818,12261,Kavumbu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,2,MAKUENI,MBOONI,mbooni,KALAWA,Operational,No,No,No,No,Yes,Yes,No
5819,13756,Magwagwa Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NYAMIRA,NORTH MUGIRANGO,nyamira north,MAGWAGWA,Operational,No,No,No,No,Yes,Yes,No
5820,16281,Getiesi Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NYAMIRA,WEST MUGIRANGO,nyamira,BOGICHORA,Operational,No,No,No,No,Yes,Yes,No
5821,15365,Nku West Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NAKURU,NAKURU TOWN WEST,nakuru east,SHAABAB,Operational,No,No,No,No,Yes,Yes,No
5822,11266,Bwagamoyo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,RABAI,rabai,MWAWESA,Operational,No,No,No,No,Yes,Yes,No
5823,12238,Kathulumbi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,MBOONI,mbooni,KALAWA,Operational,No,No,No,No,Yes,Yes,No
5824,12548,Mua Hills Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,MACHAKOS,MACHAKOS TOWN,machakos,MUA,Operational,No,No,No,No,Yes,Yes,No
5825,12782,Syumile Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,KIBWEZI WEST,kibwezi west,NGUUMO,Operational,No,No,No,No,Yes,Yes,No
5826,12563,Mukuuni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,CHUKA/IGAMBANG'OMBE,chuka/igambang'ombe,MAGUMONI,Operational,No,No,No,No,Yes,Yes,No
5827,13450,Wagberi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR EAST,wajir east,TOWNSHIP,Operational,No,No,Yes,No,Yes,Yes,No
5828,13421,Qudama Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR NORTH,wajir north,DANABA,Operational,Yes,No,Yes,No,Yes,Yes,No
5829,12267,Kayatta Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU NORTH,Operational,No,No,No,No,Yes,Yes,No
5830,12377,Kivani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,KAITI,Kaiti,KEE,Operational,No,No,No,No,Yes,Yes,No
5831,13850,Ngere Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MIGORI,RONGO,rongo sub county,EAST KAMAGAMBO,Operational,No,No,No,No,Yes,Yes,No
5832,14876,Kimondi Forest Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NANDI,CHESUMEI,chesumei,KIPTUIYA,Operational,No,No,No,No,Yes,Yes,No
5833,12163,Kambusu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU EAST,Operational,No,No,No,No,Yes,Yes,No
5834,13749,Magenche Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOMACHOGE BORABU,bomachoge borabu,MAGENCHE,Operational,No,No,No,No,Yes,Yes,No
5835,12616,Muvuti Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MUVUTI/KIIMA-KIMWE,Operational,No,No,No,No,Yes,Yes,No
5836,12360,Kithuki Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,15,0,MAKUENI,MAKUENI,makueni,KITISE/KITHUKI,Operational,No,No,No,No,Yes,Yes,No
5837,14048,Riechieri Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NYAMIRA,NORTH MUGIRANGO,nyamira north,ITIBO,Operational,No,No,No,No,Yes,Yes,No
5838,12167,Kamuthanga Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,MACHAKOS,MACHAKOS TOWN,machakos,MUTITUNI,Operational,No,No,No,No,Yes,Yes,No
5839,13356,Gurufa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,GARISSA,LAGDERA,lagdera,MAALAMIN,Operational,No,No,No,No,Yes,Yes,No
5840,12711,Riachina Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MBEERE SOUTH,mbeere south,KIAMBERE,Operational,No,No,No,No,Yes,Yes,No
5841,15926,Kaptanai Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,NAMWELA,Operational,No,No,No,No,Yes,Yes,No
5842,11711,Ngao District Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,56,0,TANA RIVER,GARSEN,GARSEN,GARSEN SOUTH,Operational,Yes,No,Yes,No,Yes,Yes,No
5843,12660,Ngurunit Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MARSABIT,LAISAMIS,laisamis,KORR/NGURUNIT,Operational,No,No,No,No,Yes,Yes,No
5844,12152,Kalikuvu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,Operational,No,No,No,No,Yes,Yes,No
5845,12395,Kwa Nguu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU NORTH,Operational,No,No,No,No,Yes,Yes,No
5846,13676,Kenyoro Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,NYAMIRA,NORTH MUGIRANGO,nyamira north,ITIBO,Operational,No,No,No,No,Yes,Yes,No
5847,13975,Olasi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MIGORI,NYATIKE,nyatike sub county,KALER,Operational,No,No,No,No,Yes,Yes,No
5848,11276,Chakama Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,MAGARINI,magarini,ADU,Operational,No,No,Yes,No,Yes,Yes,No
5849,13878,Nyaguta Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,NYARIBARI CHACHE,nyaribari chache,KIOGORO,Operational,No,No,No,No,Yes,Yes,No
5850,11497,Kizingo Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI SOUTH,kilifi south,MWARAKAYA,Operational,No,No,No,No,Yes,Yes,No
5851,15500,Rotary Doctors General Outreach,Level 2,Administrative Offices,Non-Governmental Organizations,Ministry of Health,0,0,NANDI,EMGWEN,emgwen,KAPSABET,Operational,Yes,No,No,No,Yes,Yes,No
5852,12080,Ikutha Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,2,3,KITUI,KITUI SOUTH,kitui south,IKUTHA,Operational,Yes,No,Yes,No,Yes,Yes,No
5853,16229,Mweru Dispensary (Imenti South),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MERU,SOUTH IMENTI,imenti south,IGOJI EAST,Operational,No,No,No,No,Yes,Yes,No
5854,12072,Iiani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,1,MAKUENI,MAKUENI,makueni,MAVINDINI,Operational,No,No,No,No,Yes,Yes,No
5855,13688,Kibogo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,NYAKACH,nyakach,NORTH NYAKACH,Operational,No,No,No,No,Yes,Yes,No
5856,12584,Mutembuku Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,3,3,MAKUENI,MBOONI,mbooni,KALAWA,Operational,No,No,No,No,Yes,Yes,No
5857,13580,GK Prisons Dispensary (Kisii),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,NYARIBARI CHACHE,nyaribari chache,KISII CENTRAL,Operational,No,No,No,No,Yes,Yes,No
5858,13986,Omosaria Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BOBASI,bobasi,MASIGE WEST,Operational,No,No,No,No,Yes,Yes,No
5859,12621,Chandaria Mwania Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,MAKUENI,makueni,KITISE/KITHUKI,Operational,No,No,No,No,Yes,Yes,No
5860,13543,Embonga Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,15,0,NYAMIRA,WEST MUGIRANGO,nyamira,BOGICHORA,Operational,Yes,No,Yes,No,Yes,Yes,No
5861,12496,Maweli Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MWALA,mwala,MAKUTANO/MWALA,Operational,No,No,No,No,Yes,Yes,No
5862,16440,Sengani Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MACHAKOS,MATUNGULU,matungulu,TALA,Operational,No,No,No,No,Yes,Yes,No
5863,13750,Mageta Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,0,SIAYA,BONDO,bondo,WEST YIMBO,Operational,No,No,No,No,Yes,Yes,No
5864,11629,Mkongani Dispensary,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KWALE,MATUGA,matuga,MKONGANI,Operational,No,No,No,No,Yes,Yes,No
5865,15741,Tugen Estate Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,MOIBEN,moiben,SERGOIT,Operational,No,No,No,No,Yes,Yes,No
5866,16238,Embu Kmtc Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,EMBU,MANYATTA,manyatta,KIRIMARI,Operational,No,No,No,No,Yes,Yes,No
5867,16118,Shisaba Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,BUTERE,butere,MARAMA WEST,Operational,No,No,No,No,Yes,Yes,No
5868,12314,Kilungu Sub-District Hospital,Level 3,Primary care hospitals,Ministry of Health,Ministry of Health,14,4,MAKUENI,KAITI,Kaiti,KILUNGU,Operational,Yes,No,Yes,No,Yes,Yes,No
5869,12781,Syongila Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA EAST,Operational,No,No,No,No,Yes,Yes,No
5870,13671,Kenyambi Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISII,BOBASI,bobasi,BASI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
5871,11293,Cowdray Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,KILIFI NORTH,kilifi north,WATAMU,Operational,No,No,No,No,Yes,Yes,No
5872,11884,Vitsangalaweni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,LUNGA LUNGA,lunga lunga,DZOMBO,Operational,No,No,No,No,Yes,Yes,No
5873,12855,Yimwaa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,0,MAKUENI,KIBWEZI WEST,kibwezi west,MAKINDU,Operational,No,No,No,No,Yes,Yes,No
5874,11630,Mkundi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KWALE,MATUGA,matuga,KUBO SOUTH,Operational,No,No,No,No,Yes,Yes,No
5875,14324,Chemundu Dispensary (Nandi Central),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NANDI,CHESUMEI,chesumei,CHEMUNDU/KAPNG'ETUNYI,Operational,Yes,No,No,No,Yes,Yes,No
5876,12378,Kiviu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI CENTRAL,kitui central,MIAMBANI,Operational,No,No,No,No,Yes,Yes,No
5877,13502,Bitare Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISII,BONCHARI,bonchari,BOMORENDA,Operational,No,No,No,No,Yes,Yes,No
5878,12370,Kitunduni Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,MACHAKOS,KATHIANI,kathiani,LOWER KAEWA/KAANI,Operational,No,No,No,No,Yes,Yes,No
